#_mobile,#.1_mobile,Country,Mbps_mobile,#_broadband,#.1_broadband,Mbps_broadband,alpha_3
,,Saint Kitts and Nevis,,111.0,-1,29.54,KNA
,,Antigua and Barbuda,,116.0,+2,27.14,ATG
,,Mali,,124.0,+1,22.88,MLI
,,Lesotho,,132.0,-5,17.33,LSO
,,Bhutan,,133.0,+14,17.27,BTN
,,Western Sahara,,135.0,+1,15.14,ESH
,,Cape Verde,,137.0,-3,14.74,CPV
,,Benin,,138.0,-5,14.55,BEN
,,Sierra Leone,,145.0,+1,11.6,SLE
,,Suriname,,146.0,-4,11.49,SUR
,,Rwanda,,152.0,+1,10.15,RWA
,,Vanuatu,,154.0,+2,9.4,VUT
,,Malawi,,156.0,+4,8.77,MWI
,,Guinea,,159.0,+8,8.48,GIN
,,Djibouti,,165.0,+4,7.36,DJI
,,Liberia,,166.0,-1,7.35,LBR
,,The Gambia,,168.0,-,6.44,GMB
,,Swaziland,,171.0,-,5.16,SWZ
,,Burundi,,173.0,-1,4.9,BDI
,,Niger,,174.0,+1,4.47,NER
,,South Sudan,,177.0,-,2.81,SSD
,,Turkmenistan,,178.0,-,2.45,TKM
